Season,WTeamID,WScore,LTeamID,LScore,WTS%,WFG%,WFG3%,WFT%,LTS%,LFG%,LFG3%,LFT%
2003,1421,92,1411,84,0.420,0.464,0.379,0.654,0.376,0.433,0.387,0.452
2003,1112,80,1436,51,0.420,0.47,0.304,0.786,0.307,0.313,0.25,1
2003,1113,84,1272,71,0.508,0.525,0.429,0.727,0.334,0.362,0.25,0.667
2003,1141,79,1166,73,0.556,0.547,0.429,0.72,0.432,0.45,0.412,0.706
2003,1143,76,1301,74,0.404,0.422,0.35,0.652,0.431,0.446,0.429,0.75
2003,1163,58,1140,53,0.372,0.327,0.286,0.741,0.306,0.313,0.118,0.846
2003,1181,67,1161,57,0.415,0.352,0.308,0.806,0.382,0.333,0.273,0.818
2003,1211,74,1153,69,0.479,0.426,0.429,0.757,0.354,0.394,0.37,0.7
2003,1228,65,1443,60,0.427,0.429,0.357,0.857,0.342,0.379,0.333,0.615
2003,1242,64,1429,61,0.517,0.549,0.333,0.545,0.394,0.411,0.353,0.9
2003,1266,72,1221,68,0.467,0.431,0.563,0.826,0.425,0.444,0.333,0.6
2003,1281,72,1356,71,0.494,0.538,0.385,0.611,0.381,0.4,0.421,0.524
2003,1323,70,1454,69,0.449,0.426,0.231,0.84,0.353,0.348,0.348,0.75
2003,1328,71,1354,54,0.441,0.462,0.556,0.542,0.358,0.404,0.3,0.75
2003,1390,77,1360,69,0.407,0.453,0.333,0.733,0.371,0.328,0.222,0.781
2003,1409,84,1173,71,0.562,0.579,0.667,0.769,0.362,0.424,0.321,0.667
2003,1458,81,1451,74,0.484,0.534,0.375,0.591,0.364,0.408,0.292,0.6
2003,1120,65,1386,63,0.403,0.439,0.389,0.615,0.350,0.373,0.25,0.813
2003,1139,47,1280,46,0.343,0.383,0.278,0.75,0.323,0.364,0.286,0.571
2003,1196,85,1358,55,0.447,0.525,0.464,0.571,0.332,0.333,0.333,0.611
2003,1231,67,1104,62,0.427,0.388,0.389,0.846,0.436,0.423,0.417,0.813
2003,1246,95,1237,64,0.529,0.615,0.5,0.455,0.378,0.367,0.267,0.727
2003,1257,86,1122,64,0.431,0.5,0.333,0.615,0.378,0.444,0.095,0.636
2003,1268,75,1423,73,0.471,0.5,0.526,0.733,0.382,0.364,0.448,0.769
2003,1277,79,1160,64,0.494,0.464,0.538,0.8,0.393,0.433,0.357,0.412
2003,1329,77,1335,63,0.468,0.54,0.35,0.571,0.477,0.488,0.444,0.938
2003,1338,87,1447,61,0.516,0.559,0.563,0.571,0.382,0.412,0.333,0.667
2003,1345,80,1261,56,0.524,0.519,0.563,0.895,0.300,0.333,0.231,0.588
2003,1393,76,1264,65,0.546,0.577,0.364,0.8,0.361,0.361,0.286,0.833
2003,1400,82,1421,61,0.472,0.5,0.375,0.7,0.345,0.371,0.238,0.833
2003,1428,60,1332,58,0.326,0.295,0.391,0.833,0.351,0.345,0.176,0.708
2003,1448,76,1190,73,0.377,0.42,0.261,0.6,0.443,0.4,0.5,0.714
2003,1462,71,1407,59,0.386,0.406,0.3,0.722,0.305,0.354,0.379,0.333
2003,1112,96,1211,95,0.433,0.459,0.292,0.724,0.409,0.442,0.367,0.762
2003,1163,85,1390,74,0.487,0.456,0.6,0.81,0.400,0.435,0.348,0.706
2003,1181,86,1141,60,0.581,0.615,0.667,0.75,0.374,0.368,0.471,0.714
2003,1242,108,1113,76,0.651,0.678,0.556,0.676,0.404,0.406,0.267,0.696
2003,1266,101,1281,92,0.569,0.565,0.667,0.95,0.395,0.431,0.417,0.789
2003,1323,68,1228,60,0.390,0.41,0.542,1,0.345,0.349,0.294,0.688
2003,1328,74,1143,65,0.496,0.51,0.538,0.625,0.444,0.519,0.313,0.5
2003,1458,61,1409,60,0.353,0.386,0.273,0.647,0.416,0.441,0.273,1
2003,1120,68,1448,62,0.406,0.429,0.211,0.8,0.382,0.367,0.348,0.857
2003,1139,79,1257,71,0.480,0.519,0.636,0.579,0.440,0.519,0.44,1
2003,1246,74,1428,54,0.487,0.473,0.308,1,0.391,0.396,0.286,0.75
2003,1268,77,1462,64,0.491,0.517,0.231,0.824,0.374,0.351,0.389,0.708
2003,1277,68,1196,46,0.493,0.556,0.375,0.667,0.332,0.372,0.238,0.75
2003,1338,74,1231,52,0.542,0.532,0.444,0.714,0.398,0.432,0.353,0.8
2003,1393,68,1329,56,0.442,0.456,0.417,0.611,0.310,0.349,0.158,0.474
2003,1400,77,1345,67,0.456,0.403,0.455,0.846,0.378,0.371,0.313,0.667
2003,1112,88,1323,71,0.464,0.474,0.5,0.818,0.395,0.424,0.435,0.611
2003,1242,69,1181,65,0.399,0.433,0.083,0.588,0.344,0.385,0.385,0.625
2003,1246,63,1458,57,0.488,0.49,0.2,0.583,0.390,0.422,0.381,0.688
2003,1266,77,1338,74,0.509,0.519,0.5,0.682,0.489,0.527,0.286,0.8
2003,1277,60,1268,58,0.383,0.393,0.353,0.833,0.372,0.37,0.125,0.889
2003,1328,65,1139,54,0.462,0.491,0.4,0.583,0.425,0.442,0.308,0.706
2003,1393,79,1120,78,0.443,0.439,0.357,0.762,0.422,0.429,0.455,0.824
2003,1400,82,1163,78,0.399,0.348,0.278,0.806,0.411,0.423,0.308,0.56
2003,1242,78,1112,75,0.386,0.433,0.308,0.667,0.430,0.418,0.455,0.826
2003,1266,83,1246,69,0.515,0.564,0.526,0.733,0.381,0.391,0.25,0.625
2003,1393,63,1328,47,0.461,0.521,0.167,0.579,0.259,0.31,0.179,0.545
2003,1400,85,1277,76,0.520,0.49,0.429,0.763,0.467,0.463,0.5,0.692
2003,1242,94,1266,61,0.482,0.535,0.421,0.588,0.311,0.311,0.188,0.667
2003,1393,95,1400,84,0.575,0.571,0.538,0.774,0.428,0.429,0.476,0.625
2003,1393,81,1242,78,0.458,0.476,0.611,0.588,0.374,0.437,0.2,0.4
2004,1197,72,1250,57,0.387,0.397,0.3,0.696,0.287,0.295,0.233,0.737
2004,1104,65,1356,64,0.427,0.453,0.438,0.625,0.385,0.407,0.545,0.8
2004,1163,70,1436,53,0.460,0.5,0.429,0.522,0.280,0.317,0.344,0.667
2004,1177,76,1173,69,0.424,0.407,0.385,0.575,0.316,0.342,0.15,0.522
2004,1181,96,1106,61,0.454,0.485,0.346,0.742,0.361,0.386,0.35,0.588
2004,1211,76,1434,49,0.487,0.537,0.231,0.6,0.270,0.286,0.261,0.636
2004,1264,75,1196,60,0.445,0.433,0.4,0.81,0.443,0.467,0.231,0.682
2004,1268,86,1431,83,0.474,0.492,0.444,0.645,0.497,0.518,0.294,0.833
2004,1305,72,1277,66,0.446,0.435,0.318,0.862,0.418,0.418,0.313,0.833
2004,1314,63,1102,52,0.426,0.415,0.308,0.833,0.373,0.436,0.32,0.769
2004,1371,80,1112,76,0.442,0.466,0.364,0.75,0.525,0.528,0.455,0.789
2004,1386,82,1251,63,0.430,0.45,0.348,0.714,0.399,0.431,0.3,0.722
2004,1390,71,1427,45,0.476,0.5,0.429,0.733,0.258,0.238,0.133,0.619
2004,1393,80,1140,75,0.538,0.522,0.688,0.75,0.420,0.473,0.385,0.684
2004,1400,66,1343,49,0.464,0.46,0.733,0.643,0.298,0.353,0.192,0.667
2004,1403,76,1150,73,0.488,0.492,0.364,0.778,0.400,0.431,0.25,0.81
2004,1448,79,1433,78,0.482,0.519,0.375,0.63,0.471,0.509,0.55,0.692
2004,1130,58,1428,51,0.549,0.523,0.75,0.818,0.352,0.38,0.167,1
2004,1153,80,1190,77,0.405,0.468,0.406,0.818,0.364,0.392,0.261,0.65
2004,1210,65,1320,60,0.415,0.455,0.333,0.75,0.351,0.389,0.37,0.8
2004,1228,72,1293,53,0.401,0.45,0.375,0.692,0.346,0.347,0.4,0.647
2004,1242,78,1227,53,0.569,0.615,0.417,0.625,0.308,0.313,0.188,0.714
2004,1246,96,1197,76,0.479,0.565,0.393,0.652,0.375,0.455,0.367,0.417
2004,1272,59,1376,43,0.331,0.39,0.333,0.571,0.347,0.357,0.154,0.688
2004,1280,85,1284,52,0.482,0.536,0.364,0.739,0.307,0.353,0.333,0.467
2004,1301,61,1418,52,0.398,0.367,0.294,0.833,0.321,0.327,0.227,0.652
2004,1329,75,1186,56,0.551,0.545,0.333,0.813,0.334,0.356,0.158,0.846
2004,1334,66,1344,58,0.459,0.48,0.429,0.667,0.324,0.377,0.231,1
2004,1338,53,1416,44,0.360,0.295,0.313,0.71,0.288,0.308,0.25,0.7
2004,1412,102,1449,100,0.462,0.462,0.346,0.75,0.505,0.547,0.3,0.706
2004,1435,71,1444,58,0.487,0.565,0.579,0.444,0.326,0.349,0.105,0.75
2004,1458,76,1350,64,0.478,0.49,0.444,0.75,0.423,0.463,0.438,0.538
2004,1462,80,1257,70,0.521,0.5,0.5,0.862,0.347,0.397,0.313,0.769
2004,1104,70,1390,67,0.430,0.372,0.211,0.773,0.329,0.356,0.292,0.727
2004,1163,72,1177,55,0.418,0.433,0.313,0.652,0.345,0.339,0.333,0.769
2004,1181,90,1371,62,0.594,0.542,0.364,0.895,0.383,0.421,0.176,0.688
2004,1305,91,1211,72,0.485,0.469,0.471,0.793,0.343,0.373,0.136,0.722
2004,1386,70,1403,65,0.388,0.474,0.387,0.8,0.457,0.472,0.25,0.857
2004,1393,72,1268,70,0.430,0.4,0.333,0.632,0.434,0.385,0.25,0.711
2004,1400,78,1314,75,0.499,0.491,0.385,0.826,0.370,0.385,0.321,0.842
2004,1448,84,1264,80,0.480,0.509,0.4,0.75,0.436,0.46,0.35,0.75
2004,1210,57,1130,54,0.398,0.451,0.333,0.833,0.425,0.455,0.385,0.6
2004,1228,92,1153,68,0.574,0.636,0.579,0.786,0.431,0.466,0.438,0.636
2004,1242,78,1334,63,0.463,0.483,0.333,0.714,0.391,0.426,0.3,0.733
2004,1329,70,1272,53,0.526,0.596,0.417,0.529,0.362,0.4,0.353,0.5
2004,1338,59,1458,55,0.381,0.356,0.2,0.789,0.374,0.354,0.444,0.765
2004,1412,76,1246,75,0.419,0.448,0.444,0.615,0.422,0.443,0.35,0.778
2004,1435,75,1301,73,0.451,0.469,0.4,0.905,0.399,0.474,0.419,0.75
2004,1462,89,1280,74,0.529,0.545,0.684,0.696,0.345,0.361,0.346,0.619
2004,1104,80,1393,71,0.476,0.5,0.409,0.826,0.456,0.473,0.357,0.7
2004,1163,73,1435,53,0.489,0.529,0.353,0.867,0.314,0.351,0.333,0.625
2004,1329,63,1338,51,0.525,0.489,0.5,0.938,0.321,0.362,0.176,0.6
2004,1386,84,1448,80,0.456,0.5,0.5,0.609,0.513,0.529,0.5,0.72
2004,1181,72,1228,62,0.476,0.549,0.333,0.667,0.379,0.406,0.308,0.545
2004,1210,72,1305,67,0.397,0.429,0.333,0.545,0.336,0.319,0.25,0.75
2004,1242,100,1412,74,0.586,0.536,0.4,0.818,0.323,0.324,0.242,0.833
2004,1462,79,1400,71,0.401,0.397,0.32,0.714,0.415,0.419,0.438,0.706
2004,1163,87,1104,71,0.485,0.483,0.588,0.655,0.408,0.417,0.316,0.833
2004,1329,64,1386,62,0.418,0.472,0.235,0.667,0.349,0.386,0.308,0.769
2004,1181,66,1462,63,0.399,0.389,0.4,0.8,0.357,0.349,0.2,0.696
2004,1210,79,1242,71,0.454,0.446,0.188,0.765,0.384,0.4,0.316,0.684
2004,1163,79,1181,78,0.512,0.5,0.545,0.656,0.378,0.408,0.273,0.609
2004,1210,67,1329,65,0.459,0.49,0.412,0.75,0.428,0.44,0.267,0.68
2004,1163,82,1210,73,0.431,0.426,0.294,0.641,0.357,0.38,0.318,0.571
2005,1324,79,1105,69,0.489,0.509,0.467,0.7,0.363,0.39,0.357,0.722
2005,1112,66,1429,53,0.465,0.469,0.429,0.778,0.338,0.364,0.368,0.6
2005,1130,85,1335,65,0.567,0.577,0.667,0.68,0.308,0.352,0.333,0.5
2005,1153,76,1234,64,0.449,0.474,0.5,0.591,0.368,0.339,0.294,0.76
2005,1211,74,1457,64,0.437,0.458,0.313,0.682,0.351,0.367,0.385,0.833
2005,1228,67,1192,55,0.398,0.426,0.286,0.714,0.353,0.404,0.25,0.455
2005,1246,72,1184,64,0.490,0.51,0.182,0.692,0.391,0.441,0.333,0.545
2005,1305,61,1400,57,0.363,0.371,0.214,0.667,0.353,0.353,0.5,0.667
2005,1328,84,1310,67,0.449,0.459,0.231,0.867,0.327,0.353,0.214,0.867
2005,1334,79,1338,71,0.464,0.473,0.5,0.739,0.395,0.424,0.348,0.722
2005,1403,78,1417,66,0.591,0.615,0.429,0.688,0.381,0.433,0.3,0.533
2005,1412,82,1261,68,0.451,0.458,0.438,0.583,0.325,0.359,0.194,0.727
2005,1428,60,1431,54,0.367,0.429,0.25,0.6,0.409,0.415,0.222,0.889
2005,1448,70,1151,54,0.367,0.414,0.286,0.667,0.355,0.404,0.3,0.667
2005,1449,88,1285,77,0.508,0.552,0.474,0.682,0.435,0.508,0.45,0.25
2005,1452,63,1166,61,0.439,0.478,0.4,0.846,0.403,0.42,0.4,0.846
2005,1454,83,1104,73,0.498,0.52,0.571,0.679,0.456,0.52,0.391,0.75
2005,1137,64,1242,63,0.344,0.4,0.258,0.75,0.457,0.435,0.091,0.815
2005,1163,77,1416,71,0.513,0.5,0.5,0.64,0.361,0.344,0.393,0.857
2005,1181,57,1175,46,0.397,0.41,0.3,0.655,0.330,0.365,0.333,0.5
2005,1196,67,1325,62,0.392,0.389,0.304,0.947,0.411,0.391,0.5,0.654
2005,1210,80,1203,68,0.490,0.5,0.438,0.773,0.386,0.446,0.375,0.25
2005,1235,64,1278,53,0.436,0.439,0.25,0.632,0.293,0.333,0.217,0.6
2005,1257,68,1418,62,0.374,0.386,0.273,0.667,0.425,0.453,0.333,0.556
2005,1277,89,1330,81,0.550,0.569,0.214,0.778,0.438,0.426,0.35,0.846
2005,1280,93,1390,70,0.544,0.561,0.529,0.769,0.380,0.381,0.222,0.72
2005,1301,75,1150,63,0.428,0.441,0.211,0.864,0.370,0.397,0.381,0.643
2005,1314,96,1324,68,0.562,0.638,0.632,0.526,0.420,0.431,0.4,0.667
2005,1329,63,1368,50,0.555,0.486,0.571,0.793,0.421,0.444,0.3,0.7
2005,1356,65,1388,56,0.411,0.41,0.333,0.786,0.347,0.333,0.2,0.818
2005,1436,60,1393,57,0.354,0.373,0.333,0.818,0.402,0.418,0.25,0.889
2005,1437,55,1307,47,0.297,0.283,0.276,0.708,0.269,0.298,0.16,0.75
2005,1458,57,1320,52,0.364,0.417,0.423,0.6,0.354,0.415,0.235,0.5
2005,1112,85,1412,63,0.477,0.526,0.318,0.783,0.309,0.328,0.2,0.833
2005,1228,71,1305,59,0.509,0.531,0.167,0.85,0.399,0.37,0.333,0.64
2005,1246,69,1153,60,0.501,0.51,0.583,0.667,0.315,0.328,0.269,0.684
2005,1403,71,1211,69,0.461,0.492,0.364,0.563,0.416,0.468,0.154,0.5
2005,1428,67,1328,58,0.584,0.595,0.625,0.643,0.311,0.318,0.105,0.737
2005,1449,97,1334,79,0.509,0.563,0.391,0.842,0.401,0.448,0.333,0.647
2005,1452,111,1448,105,0.513,0.529,0.333,0.769,0.478,0.507,0.391,0.667
2005,1454,83,1130,75,0.468,0.473,0.458,0.909,0.491,0.46,0.364,0.714
2005,1181,63,1280,55,0.393,0.38,0.381,0.81,0.326,0.323,0.308,0.524
2005,1257,76,1210,54,0.505,0.524,0.476,0.786,0.368,0.377,0.375,0.8
2005,1277,72,1436,61,0.463,0.482,0.167,0.727,0.311,0.314,0.318,0.714
2005,1301,65,1163,62,0.419,0.4,0.5,0.882,0.419,0.423,0.143,0.889
2005,1314,92,1235,65,0.433,0.477,0.32,0.595,0.337,0.355,0.308,0.412
2005,1329,85,1356,77,0.586,0.543,0.5,0.879,0.437,0.411,0.316,0.833
2005,1437,76,1196,65,0.450,0.414,0.273,0.714,0.401,0.385,0.389,0.72
2005,1458,71,1137,62,0.469,0.457,0.412,0.759,0.436,0.46,0.333,0.786
2005,1112,79,1329,78,0.577,0.66,0.5,0.588,0.412,0.439,0.435,0.769
2005,1228,77,1454,63,0.461,0.491,0.45,0.8,0.335,0.386,0.241,0.667
2005,1257,93,1449,79,0.493,0.554,0.423,0.714,0.379,0.418,0.24,0.607
2005,1452,65,1403,60,0.413,0.471,0.409,0.615,0.422,0.429,0.125,0.688
2005,1246,62,1428,52,0.514,0.615,0.308,0.526,0.411,0.415,0.4,0.5
2005,1277,78,1181,68,0.438,0.415,0.357,0.826,0.402,0.431,0.304,0.708
2005,1314,67,1437,66,0.432,0.417,0.421,0.792,0.339,0.377,0.286,0.632
2005,1458,65,1301,56,0.516,0.5,0.4,0.76,0.360,0.38,0.409,0.692
2005,1228,90,1112,89,0.400,0.451,0.457,0.667,0.504,0.525,0.389,0.857
2005,1257,93,1452,85,0.471,0.552,0.393,0.621,0.516,0.553,0.667,0.789
2005,1277,94,1246,88,0.489,0.469,0.526,0.8,0.448,0.449,0.474,0.739
2005,1314,88,1458,82,0.500,0.531,0.313,0.833,0.452,0.492,0.458,0.846
2005,1228,72,1257,57,0.402,0.482,0.4,0.75,0.359,0.389,0.3,0.75
2005,1314,87,1277,71,0.442,0.493,0.3,0.647,0.338,0.338,0.304,0.778
2005,1314,75,1228,70,0.491,0.519,0.563,0.632,0.311,0.386,0.3,0.667
2006,1284,71,1214,49,0.390,0.443,0.385,0.778,0.293,0.302,0.267,0.538
2006,1104,90,1266,85,0.491,0.509,0.522,0.71,0.465,0.525,0.318,0.737
2006,1130,88,1334,76,0.474,0.509,0.261,0.828,0.396,0.413,0.4,0.778
2006,1181,70,1380,54,0.481,0.49,0.333,0.85,0.340,0.355,0.308,0.6
2006,1196,76,1375,50,0.430,0.492,0.4,0.8,0.322,0.345,0.45,0.5
2006,1203,88,1423,85,0.450,0.47,0.455,0.727,0.506,0.593,0.5,0.556
2006,1211,79,1462,75,0.535,0.52,0.5,0.778,0.401,0.412,0.357,0.697
2006,1228,78,1102,69,0.499,0.58,0.364,0.857,0.454,0.512,0.481,0.778
2006,1231,87,1361,83,0.418,0.493,0.308,0.563,0.521,0.564,0.556,0.733
2006,1261,80,1233,64,0.549,0.529,0.5,0.778,0.356,0.377,0.167,0.6
2006,1285,87,1305,79,0.545,0.518,0.5,0.852,0.427,0.471,0.278,0.8
2006,1397,63,1457,61,0.393,0.453,0.238,0.714,0.349,0.393,0.292,0.588
2006,1401,66,1393,58,0.385,0.357,0.35,0.864,0.366,0.392,0.211,0.667
2006,1417,78,1125,44,0.510,0.536,0.308,0.824,0.263,0.288,0.211,0.462
2006,1449,75,1429,61,0.419,0.475,0.444,0.875,0.446,0.49,0.231,0.8
2006,1454,82,1328,74,0.460,0.455,0.3,0.813,0.471,0.525,0.357,0.625
2006,1455,86,1371,66,0.462,0.474,0.455,0.688,0.369,0.344,0.3,0.947
2006,1112,94,1458,75,0.594,0.593,0.5,0.826,0.428,0.431,0.5,0.682
2006,1133,77,1242,73,0.442,0.442,0.524,0.625,0.433,0.448,0.389,0.737
2006,1137,59,1116,55,0.405,0.386,0.524,0.778,0.395,0.404,0.167,0.625
2006,1163,72,1107,59,0.532,0.587,0.5,0.769,0.418,0.462,0.267,0.875
2006,1206,75,1277,65,0.518,0.592,0.417,0.462,0.368,0.433,0.385,0.6
2006,1207,54,1320,49,0.379,0.435,0.263,0.643,0.309,0.354,0.269,0.667
2006,1246,69,1412,64,0.348,0.311,0.2,0.867,0.358,0.431,0.208,0.529
2006,1272,94,1331,78,0.522,0.607,0.5,0.563,0.508,0.528,0.467,0.75
2006,1301,58,1143,52,0.443,0.5,0.313,0.647,0.386,0.426,0.313,0.7
2006,1314,69,1293,65,0.448,0.458,0.278,0.8,0.334,0.385,0.259,0.667
2006,1322,64,1234,63,0.359,0.383,0.391,0.643,0.447,0.439,0.333,0.808
2006,1326,70,1172,62,0.360,0.4,0.227,0.565,0.333,0.382,0.227,0.714
2006,1338,79,1245,64,0.593,0.674,0.429,0.733,0.369,0.39,0.409,0.692
2006,1400,60,1335,52,0.452,0.4,0.2,0.846,0.303,0.321,0.37,0.615
2006,1437,58,1284,45,0.333,0.308,0.28,0.826,0.344,0.341,0.235,0.765
2006,1452,64,1356,46,0.368,0.44,0.344,0.818,0.372,0.426,0.308,0.5
2006,1130,69,1285,56,0.411,0.429,0.471,0.778,0.351,0.364,0.35,0.818
2006,1181,74,1203,61,0.485,0.477,0.375,0.703,0.323,0.309,0.278,0.737
2006,1196,82,1454,60,0.486,0.536,0.4,0.737,0.339,0.361,0.35,0.529
2006,1211,90,1231,80,0.500,0.459,0.182,0.78,0.372,0.449,0.444,0.333
2006,1261,58,1401,57,0.381,0.352,0.167,0.783,0.400,0.415,0.462,0.583
2006,1417,62,1104,59,0.399,0.511,0.36,0.385,0.484,0.487,0.182,0.76
2006,1449,67,1228,64,0.434,0.378,0.333,0.718,0.373,0.397,0.278,0.818
2006,1455,80,1397,73,0.528,0.5,0.6,0.793,0.359,0.403,0.345,0.692
2006,1133,72,1338,66,0.455,0.373,0.333,0.813,0.384,0.41,0.3,0.909
2006,1163,87,1246,83,0.493,0.5,0.308,0.7,0.442,0.468,0.333,0.944
2006,1206,65,1314,60,0.395,0.397,0.25,0.789,0.313,0.359,0.333,1
2006,1207,70,1326,52,0.453,0.466,0.429,0.833,0.388,0.404,0.313,1
2006,1272,72,1137,56,0.477,0.479,0.438,0.731,0.426,0.366,0.167,0.828
2006,1400,75,1301,54,0.450,0.464,0.421,0.789,0.324,0.393,0.136,0.583
2006,1437,82,1112,78,0.514,0.538,0.474,0.85,0.430,0.431,0.294,0.85
2006,1452,67,1322,54,0.406,0.391,0.318,0.727,0.338,0.382,0.3,0.545
2006,1261,62,1181,54,0.397,0.393,0.286,0.522,0.275,0.277,0.192,0.813
2006,1272,80,1133,64,0.482,0.517,0.4,0.667,0.364,0.333,0.313,0.704
2006,1400,74,1452,71,0.431,0.483,0.211,0.7,0.388,0.455,0.455,0.75
2006,1417,73,1211,71,0.400,0.404,0.286,0.7,0.490,0.471,0.3,0.769
2006,1163,98,1449,92,0.540,0.529,0.526,0.723,0.418,0.425,0.3,0.783
2006,1196,57,1207,53,0.435,0.422,0.385,0.824,0.337,0.389,0.238,0.75
2006,1206,63,1455,55,0.449,0.455,0.5,0.652,0.288,0.313,0.125,0.706
2006,1437,60,1130,59,0.342,0.35,0.211,0.7,0.391,0.469,0.263,0.471
2006,1261,70,1400,60,0.384,0.424,0.167,0.688,0.292,0.304,0.345,0.727
2006,1417,50,1272,45,0.384,0.35,0.25,0.513,0.290,0.315,0.118,0.6
2006,1196,75,1437,62,0.443,0.407,0.235,0.871,0.287,0.247,0.174,0.815
2006,1206,86,1163,84,0.483,0.5,0.5,0.68,0.436,0.47,0.318,0.789
2006,1196,73,1206,58,0.423,0.434,0.48,0.789,0.396,0.411,0.182,0.714
2006,1417,59,1261,45,0.386,0.412,0.278,0.706,0.329,0.32,0,0.464
2006,1196,73,1417,57,0.425,0.448,0.316,0.75,0.339,0.361,0.176,0.714
2007,1310,77,1197,69,0.380,0.387,0.296,0.75,0.388,0.453,0.235,0.389
2007,1130,84,1403,75,0.490,0.526,0.4,0.8,0.436,0.462,0.412,0.889
2007,1139,57,1330,46,0.370,0.413,0.375,0.625,0.295,0.327,0.2,0.857
2007,1207,80,1125,55,0.514,0.547,0.438,0.75,0.307,0.357,0.231,0.529
2007,1231,70,1211,57,0.389,0.397,0.36,0.938,0.347,0.339,0.368,0.75
2007,1257,78,1390,58,0.486,0.49,0.412,0.75,0.387,0.412,0.25,0.481
2007,1268,82,1172,70,0.439,0.456,0.353,0.737,0.309,0.343,0.27,0.857
2007,1277,61,1266,49,0.530,0.537,0.4,0.867,0.297,0.319,0.345,0.6
2007,1314,86,1184,65,0.575,0.649,0.462,0.545,0.389,0.475,0.273,0.5
2007,1326,78,1148,57,0.476,0.519,0.55,0.611,0.342,0.358,0.385,0.9
2007,1338,79,1460,58,0.481,0.545,0.476,0.643,0.308,0.333,0.25,0.583
2007,1401,68,1335,52,0.448,0.471,0.385,0.556,0.319,0.362,0.2,0.75
2007,1417,70,1451,42,0.432,0.466,0.526,0.667,0.391,0.342,0.167,0.682
2007,1433,79,1181,77,0.451,0.426,0.563,0.75,0.463,0.466,0.273,0.625
2007,1435,77,1203,44,0.389,0.426,0.387,0.813,0.301,0.271,0.214,0.6
2007,1450,70,1331,54,0.465,0.474,0.385,0.917,0.333,0.358,0.286,0.625
2007,1462,79,1140,77,0.461,0.429,0.471,0.793,0.420,0.433,0.474,0.769
2007,1196,112,1238,69,0.496,0.589,0.357,0.593,0.355,0.362,0.273,0.929
2007,1242,107,1310,67,0.498,0.541,0.591,0.538,0.335,0.318,0.105,0.676
2007,1246,67,1437,58,0.437,0.455,0.263,0.71,0.342,0.327,0.333,0.75
2007,1272,73,1317,58,0.406,0.403,0.25,0.704,0.399,0.358,0.4,0.727
